21.210000	23.190000	1
24.400000	27.870000	2
30.360000	34.800000	3
36.280000	38.200000	4
39.590000	41.980000	5
45.190000	55.840000	6
57.220000	58.850000	7
62.580000	66.360000	8
69.350000	73.900000	9
75.120000	77.240000	10
79.250000	82.750000	11
86.710000	88.570000	12
93.980000	95.650000	13
105.080000	108.470000	14
110.520000	112.870000	15
117.630000	120.910000	16
130.350000	132.990000	17
198.940000	204.650000	18
206.510000	209.100000	19
211.980000	217.790000	20
230.150000	235.440000	21
242.990000	248.130000	22
