13.650000	17.730000	1
19.160000	24.550000	2
26.040000	28.810000	3
31.900000	34.800000	4
38.750000	41.580000	5
45.610000	48.510000	6
52.450000	55.380000	7
57.720000	59.370000	8
61.160000	62.890000	9
66.660000	69.390000	10
71.450000	73.170000	11
74.840000	76.790000	12
80.440000	83.220000	13
86.740000	89.670000	14
93.630000	96.590000	15
100.460000	103.380000	16
107.330000	110.440000	17
117.550000	120.170000	18
124.400000	127.180000	19
131.270000	133.850000	20
138.310000	141.340000	21
181.620000	185.770000	22
187.160000	192.550000	23
194.030000	196.120000	24
199.870000	202.830000	25
206.730000	209.610000	26
213.600000	216.530000	27
220.550000	222.230000	28
