11.400000	15.020000	1
38.280000	40.690000	2
41.650000	44.660000	3
45.740000	56.730000	4
57.900000	60.680000	5
61.830000	68.660000	6
69.590000	71.560000	7
73.300000	76.350000	8
108.870000	111.160000	9
112.930000	122.160000	10
124.180000	130.250000	11
131.860000	138.620000	12
139.520000	142.360000	13
143.230000	145.500000	14
147.230000	149.600000	15
151.030000	153.860000	16
185.720000	187.940000	17
189.520000	191.890000	18
193.350000	196.290000	19
201.070000	203.530000	20
204.890000	207.030000	21
208.700000	211.660000	22
