3.690000	5.310000	1
6.810000	8.110000	2
9.820000	11.040000	3
13.010000	14.140000	4
15.980000	17.390000	5
18.940000	20.160000	6
21.920000	22.980000	7
25.010000	26.140000	8
28.020000	29.400000	9
31.010000	32.220000	10
33.990000	35.150000	11
37.130000	38.200000	12
51.360000	70.730000	13
73.620000	84.320000	14
85.360000	95.750000	15
99.300000	100.850000	16
102.130000	104.440000	17
105.250000	106.990000	18
108.240000	109.890000	19
111.080000	113.290000	20
114.170000	123.640000	21
139.490000	161.410000	22
169.340000	171.750000	23
173.290000	175.120000	24
176.370000	178.050000	25
179.320000	181.220000	26
182.510000	184.310000	27
185.550000	187.510000	28
188.830000	190.560000	29
191.870000	194.910000	30
206.730000	214.330000	31
217.340000	226.010000	32
231.400000	233.060000	33
234.290000	236.190000	34
237.520000	239.670000	35
240.640000	242.920000	36
